,id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,year,updated_on,x_coordinate,y_coordinate,latitude,longitude,location
16,12176043,JD378466,2020-09-24T14:40:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,1833,018,2,8,06,2020,2020-10-01T15:50:30.000,1177338,1906181,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
17,12174855,JD377948,2020-09-24T16:25:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,1833,018,2,8,06,2020,2020-10-01T15:50:30.000,1177338,1906181,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
18,12174028,JD377038,2020-09-23T18:16:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,1833,018,2,8,06,2020,2020-09-30T15:52:35.000,1177338,1906181,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
19,12133770,JD330155,2020-08-10T00:00:00.000,008XX N MICHIGAN AVE,0610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,True,False,1833,018,42,8,05,2020,2020-09-27T15:48:13.000,1177311,1905834,41.896943556,-87.624206307,"{'latitude': '41.896943556', 'longitude': '-87.624206307', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
20,12169573,JD371767,2020-09-18T18:10:00.000,008XX N MICHIGAN AVE,0810,THEFT,OVER $500,SMALL RETAIL STORE,False,False,1833,018,2,8,06,2020,2020-09-25T15:51:21.000,1177338,1906181,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
21,12168818,JD370722,2020-09-17T19:05:00.000,008XX N MICHIGAN AVE,0558,ASSAULT,AGGRAVATED PROTECTED EMPLOYEE - OTHER DANGEROUS WEAPON,DEPARTMENT STORE,True,False,1833,018,42,8,04A,2020,2020-09-24T15:49:27.000,1177338,1906160,41.897837503,-87.624097243,"{'latitude': '41.897837503', 'longitude': '-87.624097243', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
22,12171713,JD358388,2020-09-03T18:36:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,1833,018,2,8,06,2020,2020-09-24T15:46:43.000,1177338,1906181,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
23,12170146,JD372343,2020-09-12T17:46:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,1833,018,2,8,06,2020,2020-09-23T15:55:45.000,1177338,1906181,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
24,12165641,JD367161,2020-09-14T15:58:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,1833,018,42,8,06,2020,2020-09-21T15:49:44.000,1177338,1906213,41.897982937,-87.624095634,"{'latitude': '41.897982937', 'longitude': '-87.624095634', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
25,12162722,JD363752,2020-09-11T11:53:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,1833,018,2,8,06,2020,2020-09-18T15:47:44.000,1177338,1906181,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
