id,date,block,iucr,primary_type,description,location_description,latitude,longitude,location,year
7098260,2009-08-27T17:15:00.000,007XX N RUSH ST,0870,THEFT,POCKET-PICKING,SIDEWALK,41.896010188,-87.62548749,"{'latitude': '41.896010188', 'longitude': '-87.62548749', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2009
7110055,2009-09-02T22:30:00.000,001XX E OHIO ST,0810,THEFT,OVER $500,STREET,41.89253355,-87.625092487,"{'latitude': '41.89253355', 'longitude': '-87.625092487', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2009
6686348,2009-01-01T01:00:00.000,001XX E WALTON ST,0870,THEFT,POCKET-PICKING,HOTEL/MOTEL,41.900017769,-87.623426629,"{'latitude': '41.900017769', 'longitude': '-87.623426629', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2009
6686404,2009-01-01T12:50:00.000,006XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,SIDEWALK,41.894484934,-87.62424085,"{'latitude': '41.894484934', 'longitude': '-87.62424085', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2009
6687557,2009-01-01T01:50:00.000,001XX E CHESTNUT ST,1310,CRIMINAL DAMAGE,TO PROPERTY,MOVIE HOUSE/THEATER,41.898403652,-87.622900883,"{'latitude': '41.898403652', 'longitude': '-87.622900883', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2009
6687720,2009-01-02T10:30:00.000,006XX N ST CLAIR ST,0460,BATTERY,SIMPLE,STREET,41.894544296,-87.622745318,"{'latitude': '41.894544296', 'longitude': '-87.622745318', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2009
6688871,2009-01-03T03:35:00.000,001XX E ONTARIO ST,0313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,HOTEL/MOTEL,41.893346855,-87.623478469,"{'latitude': '41.893346855', 'longitude': '-87.623478469', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2009
6689247,2009-01-02T18:00:00.000,006XX N MICHIGAN AVE,0890,THEFT,FROM BUILDING,HOTEL/MOTEL,41.894539838,-87.624243916,"{'latitude': '41.894539838', 'longitude': '-87.624243916', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2009
6689335,2009-01-03T16:25:00.000,009XX N MICHIGAN AVE,0870,THEFT,POCKET-PICKING,OTHER,41.899410159,-87.624131266,"{'latitude': '41.899410159', 'longitude': '-87.624131266', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2009
6689373,2009-01-03T17:00:00.000,008XX N MICHIGAN AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,SMALL RETAIL STORE,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2009
