id,date,block,iucr,primary_type,description,location_description,latitude,longitude,location,year
1441395,2001-03-24T16:30:00.000,001XX E ERIE ST,0810,THEFT,OVER $500,RESTAURANT,41.894040577,-87.62338631,"{'latitude': '41.894040577', 'longitude': '-87.62338631', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2001
1311747,2001-01-02T08:50:00.000,006XX N ST CLAIR ST,0820,THEFT,$500 AND UNDER,RESTAURANT,41.894852629,-87.622903509,"{'latitude': '41.894852629', 'longitude': '-87.622903509', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2001
1312250,2001-01-01T10:00:00.000,006XX N MICHIGAN AV,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,HOTEL/MOTEL,41.894826194,-87.624398685,"{'latitude': '41.894826194', 'longitude': '-87.624398685', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2001
1312708,2001-01-02T21:00:00.000,009XX N MICHIGAN AV,0820,THEFT,$500 AND UNDER,SMALL RETAIL STORE,41.899246401,-87.624276332,"{'latitude': '41.899246401', 'longitude': '-87.624276332', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2001
1313601,2001-01-01T01:02:32.000,007XX N RUSH ST,0460,BATTERY,SIMPLE,RESTAURANT,41.895678996,-87.625627047,"{'latitude': '41.895678996', 'longitude': '-87.625627047', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2001
1314059,2001-01-01T03:00:00.000,009XX N MICHIGAN AV,1330,CRIMINAL TRESPASS,TO LAND,HOTEL/MOTEL,41.899538267,-87.623990266,"{'latitude': '41.899538267', 'longitude': '-87.623990266', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2001
1314071,2001-01-01T04:40:00.000,001XX E WALTON ST,1330,CRIMINAL TRESPASS,TO LAND,HOTEL/MOTEL,41.900117261,-87.623983858,"{'latitude': '41.900117261', 'longitude': '-87.623983858', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2001
1314205,2001-01-02T14:00:00.000,009XX N MICHIGAN AV,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,COMMERCIAL / BUSINESS OFFICE,41.899246401,-87.624276332,"{'latitude': '41.899246401', 'longitude': '-87.624276332', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2001
1314648,2001-01-03T20:00:00.000,001XX E WALTON ST,0820,THEFT,$500 AND UNDER,RESTAURANT,41.900117261,-87.623983858,"{'latitude': '41.900117261', 'longitude': '-87.623983858', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2001
1315881,2001-01-02T12:45:00.000,006XX N MICHIGAN AV,0820,THEFT,$500 AND UNDER,DEPARTMENT STORE,41.894538931,-87.62409701,"{'latitude': '41.894538931', 'longitude': '-87.62409701', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2001
