id,date,block,iucr,primary_type,description,location_description,latitude,longitude,location,year
1918055,2002-01-01T15:00:00.000,007XX N MICHIGAN AV,0820,THEFT,$500 AND UNDER,OTHER,41.895140898,-87.624255632,"{'latitude': '41.895140898', 'longitude': '-87.624255632', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2002
1919966,2002-01-02T14:02:22.000,001XX E DELAWARE PL,2850,PUBLIC PEACE VIOLATION,BOMB THREAT,COMMERCIAL / BUSINESS OFFICE,41.899219774,-87.623519951,"{'latitude': '41.899219774', 'longitude': '-87.623519951', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2002
1920629,2002-01-02T17:30:00.000,004XX N MICHIGAN AV,0810,THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,41.890455604,-87.6241128,"{'latitude': '41.890455604', 'longitude': '-87.6241128', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2002
1921300,2002-01-01T13:05:26.000,007XX N RUSH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,HOTEL/MOTEL,41.896092532,-87.625490253,"{'latitude': '41.896092532', 'longitude': '-87.625490253', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2002
1921599,2002-01-02T18:49:04.000,009XX N MICHIGAN AV,0820,THEFT,$500 AND UNDER,DEPARTMENT STORE,41.899410159,-87.624131266,"{'latitude': '41.899410159', 'longitude': '-87.624131266', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2002
1921751,2002-01-03T12:40:00.000,005XX N MICHIGAN AV,0820,THEFT,$500 AND UNDER,SMALL RETAIL STORE,41.891465732,-87.624153044,"{'latitude': '41.891465732', 'longitude': '-87.624153044', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2002
1922469,2002-01-02T20:32:02.000,008XX N MICHIGAN AV,0820,THEFT,$500 AND UNDER,DEPARTMENT STORE,41.897837503,-87.624097243,"{'latitude': '41.897837503', 'longitude': '-87.624097243', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2002
1922854,2002-01-02T11:00:00.000,008XX N MICHIGAN AV,0810,THEFT,OVER $500,DEPARTMENT STORE,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2002
1922919,2002-01-02T16:13:00.000,008XX N MICHIGAN AV,0820,THEFT,$500 AND UNDER,DEPARTMENT STORE,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2002
1922988,2002-01-03T12:40:00.000,007XX N MICHIGAN AV,0820,THEFT,$500 AND UNDER,DEPARTMENT STORE,41.896010965,-87.624279065,"{'latitude': '41.896010965', 'longitude': '-87.624279065', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2002
1923839,2002-01-04T14:00:00.000,001XX E DELAWARE PL,0810,THEFT,OVER $500,HOTEL/MOTEL,41.899219774,-87.623519951,"{'latitude': '41.899219774', 'longitude': '-87.623519951', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2002
1924556,2002-01-04T17:00:00.000,006XX N MICHIGAN AV,1310,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,41.894520607,-87.624240456,"{'latitude': '41.894520607', 'longitude': '-87.624240456', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2002
1924895,2002-01-05T15:30:00.000,005XX N MICHIGAN AV,0810,THEFT,OVER $500,HOTEL/MOTEL,41.891199446,-87.624137626,"{'latitude': '41.891199446', 'longitude': '-87.624137626', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2002
1926665,2002-01-04T19:00:00.000,008XX N MICHIGAN AV,0820,THEFT,$500 AND UNDER,RESTAURANT,41.89804054,-87.624091323,"{'latitude': '41.89804054', 'longitude': '-87.624091323', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2002
1926748,2002-01-05T15:28:55.000,007XX N MICHIGAN AV,0810,THEFT,OVER $500,DEPARTMENT STORE,41.896010965,-87.624279065,"{'latitude': '41.896010965', 'longitude': '-87.624279065', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2002
1927177,2002-01-03T16:50:33.000,008XX N MICHIGAN AV,0820,THEFT,$500 AND UNDER,DEPARTMENT STORE,41.897837503,-87.624097243,"{'latitude': '41.897837503', 'longitude': '-87.624097243', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2002
1927382,2002-01-04T07:45:00.000,001XX E PEARSON ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE PORCH/HALLWAY,41.897601664,-87.622792233,"{'latitude': '41.897601664', 'longitude': '-87.622792233', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2002
1927460,2002-01-04T13:11:32.000,001XX E PEARSON ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE PORCH/HALLWAY,41.897601664,-87.622792233,"{'latitude': '41.897601664', 'longitude': '-87.622792233', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2002
1928555,2002-01-07T14:35:00.000,008XX N MICHIGAN AV,0820,THEFT,$500 AND UNDER,DEPARTMENT STORE,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2002
1928665,2002-01-05T15:20:00.000,008XX N MICHIGAN AV,0820,THEFT,$500 AND UNDER,DEPARTMENT STORE,41.897837503,-87.624097243,"{'latitude': '41.897837503', 'longitude': '-87.624097243', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2002
1928692,2002-01-04T18:45:00.000,007XX N MICHIGAN AV,0810,THEFT,OVER $500,DEPARTMENT STORE,41.896010965,-87.624279065,"{'latitude': '41.896010965', 'longitude': '-87.624279065', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2002
1928757,2002-01-06T17:30:00.000,008XX N MICHIGAN AV,0810,THEFT,OVER $500,RESTAURANT,41.898767916,-87.624116333,"{'latitude': '41.898767916', 'longitude': '-87.624116333', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2002
1928789,2002-01-04T16:14:00.000,008XX N MICHIGAN AV,0810,THEFT,OVER $500,DEPARTMENT STORE,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2002
1929050,2002-01-04T18:00:00.000,007XX N MICHIGAN AV,0810,THEFT,OVER $500,DEPARTMENT STORE,41.896010965,-87.624279065,"{'latitude': '41.896010965', 'longitude': '-87.624279065', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2002
1929167,2002-01-04T14:00:00.000,001XX E PEARSON ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,41.897601664,-87.622792233,"{'latitude': '41.897601664', 'longitude': '-87.622792233', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2002
1929342,2002-01-08T08:45:00.000,004XX N MICHIGAN AV,0820,THEFT,$500 AND UNDER,RESTAURANT,41.889608078,-87.62418461,"{'latitude': '41.889608078', 'longitude': '-87.62418461', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2002
1929361,2002-01-07T19:00:00.000,001XX E SUPERIOR ST,2860,PUBLIC PEACE VIOLATION,FALSE POLICE REPORT,STREET,41.895729959,-87.624991059,"{'latitude': '41.895729959', 'longitude': '-87.624991059', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2002
