DATE,GDP
1/1/2010,14992.052
1/1/2011,15542.58175
1/1/2012,16197.00725
1/1/2013,16784.8505
1/1/2014,17527.25825
1/1/2015,18238.301
1/1/2016,18745.0755
1/1/2017,19542.9795
1/1/2018,20611.861
1/1/2019,21433.22625
